,コース１,コース１,コース１,コース１,コース2,コース2,コース2,コース2,Par,Yards,CourseRating,SlopeRating
,コース,グリーン,ティー,査定日,コース,グリーン,ティー,査定日,Par,Yards,CourseRating,SlopeRating
,西,Rグリーン,フロント,2020.09.02,南,Rグリーン,フロント,2020.09.02,72,5672,66.9,113
,西,Rグリーン,レディース,2020.09.02,南,Rグリーン,レディース,2020.09.02,72,5070,64.1,106
,南,Lグリーン,バック,2020.09.02,東,Lグリーン,バック,2020.09.02,72,6551,70.5,123
,南,Lグリーン,レギュラー,2020.09.02,東,Lグリーン,レギュラー,2020.09.02,72,6099,68.4,119
,南,Lグリーン,フロント,2020.09.02,東,Lグリーン,フロント,2020.09.02,72,5592,66.1,113
,南,Lグリーン,レディース,2020.09.02,東,Lグリーン,レディース,2020.09.02,72,4902,62.9,103
,南,Rグリーン,バック,2020.09.02,東,Rグリーン,バック,2020.09.02,72,6558,70.4,124
,南,Rグリーン,レギュラー,2020.09.02,東,Rグリーン,レギュラー,2020.09.02,72,6106,68.3,119
,南,Rグリーン,フロント,2020.09.02,東,Rグリーン,フロント,2020.09.02,72,5599,66.0,113
,南,Rグリーン,レディース,2020.09.02,東,Rグリーン,レディース,2020.09.02,72,4909,62.8,104
上総モナークカントリークラブ,アウト,ベント,バック,2009.09.01,イン,ベント,バック,2009.09.01,72,6809,72.6,132
,アウト,ベント,レギュラー,2009.09.01,イン,ベント,レギュラー,2009.09.01,72,6430,70.8,128
,アウト,ベント,フロント1,2009.09.01,イン,ベント,フロント1,2009.09.01,72,6062,69.2,123
,アウト,ベント,フロント2,2009.09.01,イン,ベント,フロント2,2009.09.01,72,5513,67.2,117
勝浦ゴルフ倶楽部,さくら,ベント,バック,2013.08.09,つつじ,ベント,バック,2013.08.09,72,6485,70.5,121
,さくら,ベント,レギュラー,2013.08.09,つつじ,ベント,レギュラー,2013.08.09,72,6111,68.8,118
,さくら,ベント,フロント,2013.08.09,つつじ,ベント,フロント,2013.08.09,72,5553,66.2,112
,さくら,ベント,レディース,2013.08.09,つつじ,ベント,レディース,2013.08.09,72,4810,63.0,103
,さくら,コーライ,バック,2013.08.09,つつじ,コーライ,バック,2013.08.09,72,6787,71.9,125
,さくら,コーライ,レギュラー,2013.08.09,つつじ,コーライ,レギュラー,2013.08.09,72,6413,70.2,121
,さくら,コーライ,フロント,2013.08.09,つつじ,コーライ,フロント,2013.08.09,72,5855,67.6,116
,さくら,コーライ,レディース,2013.08.09,つつじ,コーライ,レディース,2013.08.09,72,5112,64.3,107
,つつじ,ベント,バック,2013.08.09,さつき,ベント,バック,2013.08.09,72,6235,69.5,125
,つつじ,ベント,レギュラー,2013.08.09,さつき,ベント,レギュラー,2013.08.09,72,5891,67.9,122
,つつじ,ベント,フロント,2013.08.09,さつき,ベント,フロント,2013.08.09,72,5281,65.2,115
,つつじ,ベント,レディース,2013.08.09,さつき,ベント,レディース,2013.08.09,72,4574,62.2,106
,つつじ,コーライ,バック,2013.08.09,さつき,コーライ,バック,2013.08.09,72,6510,71.0,128
,つつじ,コーライ,レギュラー,2013.08.09,さつき,コーライ,レギュラー,2013.08.09,72,6166,69.4,126
,つつじ,コーライ,フロント,2013.08.09,さつき,コーライ,フロント,2013.08.09,72,5556,66.7,117
,つつじ,コーライ,レディース,2013.08.09,さつき,コーライ,レディース,2013.08.09,72,4849,63.6,109
,さつき,ベント,バック,2013.08.09,さくら,ベント,バック,2013.08.09,72,6312,69.6,122
,さつき,ベント,レギュラー,2013.08.09,さくら,ベント,レギュラー,2013.08.09,72,5970,68.1,118
,さつき,ベント,フロント,2013.08.09,さくら,ベント,フロント,2013.08.09,72,5350,65.2,112
,さつき,ベント,レディース,2013.08.09,さくら,ベント,レディース,2013.08.09,72,4862,63.0,106
,さつき,コーライ,バック,2013.08.09,さくら,コーライ,バック,2013.08.09,72,6607,71.3,125
,さつき,コーライ,レギュラー,2013.08.09,さくら,コーライ,レギュラー,2013.08.09,72,6265,69.6,122
,さつき,コーライ,フロント,2013.08.09,さくら,コーライ,フロント,2013.08.09,72,5645,66.7,115
,さつき,コーライ,レディース,2013.08.09,さくら,コーライ,レディース,2013.08.09,72,5157,64.5,109
香取カントリークラブ,アウト,ベント,バック,2016.08.25,イン,ベント,バック,2016.08.25,72,6610,71.8,129
,アウト,ベント,レギュラー,2016.08.25,イン,ベント,レギュラー,2016.08.25,72,5964,69.0,123
,アウト,ベント,レディース,2016.08.25,イン,ベント,レディース,2016.08.25,72,5000,64.7,114
鹿野山ゴルフ倶楽部,白鳥,ベント,バック,2020.08.25,天神,ベント,バック,2020.08.25,72,6357,70.5,127
,白鳥,ベント,レギュラー,2020.08.25,天神,ベント,レギュラー,2020.08.25,72,6036,69.0,125
,白鳥,ベント,レディース,2020.08.25,天神,ベント,レディース,2020.08.25,72,5230,65.1,115
,天神,ベント,バック,2020.08.25,浅間,ベント,バック,2020.08.25,72,6302,70.6,129
,天神,ベント,レギュラー,2020.08.25,浅間,ベント,レギュラー,2020.08.25,72,5982,69.1,126
,天神,ベント,レディース,2020.08.25,浅間,ベント,レディース,2020.08.25,72,5344,65.9,119
,浅間,ベント,バック,2020.08.25,白鳥,ベント,バック,2020.08.25,72,6241,70.3,126
,浅間,ベント,レギュラー,2020.08.25,白鳥,ベント,レギュラー,2020.08.25,72,5910,68.9,124
,浅間,ベント,レディース,2020.08.25,白鳥,ベント,レディース,2020.08.25,72,5198,65.4,115
鎌ヶ谷カントリークラブ,東,ベント,バック,2020.06.17,中,ベント,バック,2020.06.17,72,6571,71.1,128
,東,ベント,レギュラー,2020.06.17,中,ベント,レギュラー,2020.06.17,72,6086,68.9,122
,東,ベント,ゴールド,2020.06.17,中,ベント,ゴールド,2020.06.17,72,5572,66.4,118
,東,ベント,レディース,2020.06.17,中,ベント,レディース,2020.06.17,72,4920,63.3,110
,東,コーライ,バック,2020.06.17,中,コーライ,バック,2020.06.17,72,6741,72.1,129
,東,コーライ,レギュラー,2020.06.17,中,コーライ,レギュラー,2020.06.17,72,6254,69.8,125
,東,コーライ,ゴールド,2020.06.17,中,コーライ,ゴールド,2020.06.17,72,5763,67.4,120
,東,コーライ,レディース,2020.06.17,中,コーライ,レディース,2020.06.17,72,5088,64.2,113
,中,ベント,バック,2020.06.17,西,ベント,バック,2020.06.17,72,6480,70.9,135
,中,ベント,レギュラー,2020.06.17,西,ベント,レギュラー,2020.06.17,72,6006,68.7,130
,中,ベント,ゴールド,2020.06.17,西,ベント,ゴールド,2020.06.17,72,5565,66.4,125
,中,ベント,レディース,2020.06.17,西,ベント,レディース,2020.06.17,72,4957,63.5,118
,中,コーライ,バック,2020.06.17,西,コーライ,バック,2020.06.17,72,6595,71.4,135
,中,コーライ,レギュラー,2020.06.17,西,コーライ,レギュラー,2020.06.17,72,6118,69.1,132
,中,コーライ,ゴールド,2020.06.17,西,コーライ,ゴールド,2020.06.17,72,5683,67.1,127
,中,コーライ,レディース,2020.06.17,西,コーライ,レディース,2020.06.17,72,5054,64.2,119
,西,ベント,バック,2020.06.17,東,ベント,バック,2020.06.17,72,6553,71.2,132
